RESTAURANT_NAME,PRICE_LEVEL,CUISINE_TYPE,TOTAL_RATING,TOTAL_REVIEWS,FOOD_RATING,SERVICE_RATING,VALUE_RATING,ATMOSPHERE_RATING,RANKING,CITY,ADDRESS,PHONE_NO,RATING,REVIEW_TITLE,REVIEW_DETAILS,REVIEW_DATE
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,4.0,Poor service,"On our last night in NYC we reserved a table at  Gallaghers to take advantage of the 'restaurants week menu' and upgraded to the steak option.  The waiter was pleasant at first but when he realised we wanted the special offer menu & no wine (we are not wine drinkers) he changed & became quite offhand we had to call him back to order drinks! He also began an argument with a lady on the next table over which drink she had ordered he was shouting at her saying that is what you ordered! Rude! Each course was placed in front of us without a word, each course came quickly & the whole experience felt really rushed (we were in the restaurant for 1hour 15 mins from being seated to eat a 3 course meal).  The food however was outstanding Fillet Mignon cooked perfectly & tasted delicious - before we had finished eating dessert the bill was placed on our table without a word so we paid & left.  If we could have just tipped the chefs we would have.Read more","January 26, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,4.0,Very good exquisitely restored 20's steakhouse,"This is a classical 20's steakhouse that still grills its steaks over coals, which makes all the difference to me. The place has an impressive meat cave at the entrance, and the interior has been tastefully restored to its 20's exact style. The place was very crowded and noisy on a Sunday evening. We had a drink at its lovely bar where we were very efficiently and nicely treated. We then had amazing ribeye steaks - you could almost call them a Tomahawk, cooked to perfection and with a size that makes the $56 they cost almost good value for money. Garlic spinach and fries were aboundantly provided as side dishes. And the waiter was fast to bring me the Dijon mustard I had requested. No deserts as we were so full. Very good historical place, true to New York style and character.Read more","February 15, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,4.0,"Good steak, but not great and disappointed in management","I stopped in here for a 5pm dinner and had a good & underwhelming experience. I hadn't eaten at Gallaghers for maybe 15 years and was pleased to try it again. I ordered the French Onion soup which was fantastic.. excellent, rich broth, filled with onions, nice large crouton and tons of cheese. A very nice soup. I also ordered a prime rib, thinking this would be a restaurant to give Smith & Wollensky a run for the money. Not even close. The cut that came out was an ""English Cut"" at best, maybe 3/4"" thick, perfectly medium rare until I cut it to discover.. it was cold. Not warm like medium rare, but cold like it had been sitting on a plate for 20 minutes since my soup had come out. I asked the waiter about it and the maitre'd was there at the same time who told me ""well, you ordered it medium rare"".. I was so shocked I asked ""are you saying I don't know the difference between COLD and medium rare?"" He said he'd be right back and he returned with my same prime rib placed under a salamander for maybe 30 seconds. I was so stunned, I just ate the steak which was a prime cut, but thin, no great dry aged flavor and nothing to write home about. The waiter apologized and otherwise, service was great. But, I was just disappointed in the response, the treatment of what should have been a flagship cut of prime rib and questioning a patron. I might go back, but if the steaks are like this, I think I'll stick with their cross town rivals.Read more","January 10, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,5.0,Best steak ever!,Visited Gallagher's on Friday 24th January after seeing other reviews. We booked a table for 3.30 to take advantage of the 3 course special for $29. Can honestly say it has to be one of the best meals I've ever eaten. The steak was amazing. We had a vegetarian in our party and they even created a pasta and veg dish for her which she thought was fantastic. Jonny our waiter was more than happy to help. All in all a great experience on our visit to New York. 5 stars all the way!Read more,"January 27, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,5.0,Great Night Out,"Gallaghers is really good at what they do.  Five of us went recently and had a great time.  All good NY steakhouses serve high quality beef so the difference comes down to things like service, atmosphere, and how they do everything else on the menu.  Gallaghers keeps their menu short on purpose.  They want the things they do serve to be special.  The raw bar and appetizers are special.  Try the clams casino, salmon tartare, crab meat cocktail and, for a real treat, the shrimp and lobster dumplings. If you don't want beef, the veal chop is an excellent choice. Sides are all good but make sure to try their mac n cheese - its worth it.
Gallagers has a very classic and inviting feel.  They put a lot of people in a relatively small space but it doesn't have that crowded feel. As for service, If you're going to a NYC steakhouse part of the experience is the brusque waiters.  As long as they're attentive and helpful with the menu, its all good. Gallaghers waitstaff is no different, but they're not rude like some places I've been. Hint, don't go in the 5-6 pm timeframe - they will push you along.  Go after 7pm and you'll feel less rushed.Read more","January 26, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,4.0,Classic NYC Steakhouse,"Iconic NYC Steakhouse near Time's Square. Old school atmosphere in loud vibrant room. Service was good. Steaks were really good but not of the highest quality and certainly not worth the price but this is NYC  and you're paying for the experience. $500 with tip for the 5 of us. If I'm paying that price, I want one of the best steaks I've ever had(ie Manny's, Ruth Chris, Capital Grill or Murray's here in Minneapolis). I will probably find somewhere else next time in NYC.Read more","February 26, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,4.0,Over Rated,"Decided to go after recommendations on social media sites. We had booked and glad we did as it was very busy and very crammed. It felt quite impersonal as the tables are within inches of each other. We ordered a medium rib eye steak to share due to the size of it. We were quite surprised to find any veg or sides were extras, would have expected these to be included due to the price of the steaks. When our steak arrived it was very much more rare than medium, so much so that it was oozing blood. I explained to the waiter (after trying several times to get his attention but he was taken with a table of women) that this wasn’t what we ordered and he agreed and took it back to the kitchen. When he returned with it, it was done to perfection and melted in our mouth. Overall all it was a gorgeous steak but over priced, the setting would be much better if the tables weren’t placed within inches of each other. Been once, not sure we’d return. Read more","February 13, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,3.0,"Overpriced, underwhelming","We thought we were get melt-in-the-mouth steak to die for here but, despite our server's recommendation, our Sirloin was chewy and disappointing. The sides of fries and mushrooms were also very ordinary. I really wouldn't go here for the food. We've had much better elsewhere for a much more affordable price. The venue is lively, the service was OK although two different servers seemed to think they were responsible for our table and kept repeating the same questions.Read more","January 10, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,5.0,Highly recommendet Stakehous,"We chose this stakehouse based on the good reviews. We can only say that this stakehouse is worth a visit. The food is very, very good. The meat is „cooked“ exactly as you ordered it and the side dishes are delicious. The atmosphere in the restaurant itself is really nice and the entire staff is so warm and friendly we immediately felt comfortable. It is very important to reserve the table in advance as this stakhouse is in high demand.
Very highly recommended. Thanks again for the wonderful evening and the very good food. You do your job the way it should be.Read more","February 1, 2020"
Gallaghers Steakhouse,$$$$,"Steakhouse, Seafood, Gluten free options",4.5,"5,977",4.4,4.3,3.7,3.9,43,New York City,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,2.0,Truly disappointed!,"I have been to Gallaghers two times prior to last night and we had very good meals.  Last night was a disaster.  We went to the restaurant 45 minutes ahead of our reservation, checked in and we were told that we could be seated early but. not yet.  My husband and I sat at the bar and had a couple of drinks and we ordered an appetizer.  We were called to our table 10 minutes prior to our reservation time.  Once we got to the table we both immediately ordered another drink and the waiter left, finally returning with our drinks and left again, this time he did deposit the menus.  We looked at the menu and when the waiter returned he said do you want to place your order?  We did.  The waiter never told us about any specials and never mentioned what the fish selection was for the night.  After being seated at the table for 50 minutes, we received our salads, the waiter said sorry it was so slow, we told him we were going to a show and at this time we only had a half hour before we needed to leave.  Ten minutes later our meals came, at which time we told him we needed the check.  He returned with the check and we needed to have our dinners boxed so we could get to the show.  We left at 7:48 pm, dinners now in a to go box.  Really-we were we left with no food for 50 minutes?  So badly disappointed that I do not believe we will be returning...ever.  Also, last night I emailed the manager and explained why I was upset and disappointed.  I figured I would give him time to explain prior to posting this review.  As of this time 6:20 pm I have not gotten a response to the email, therefore I have now posted this review.Read more","March 1, 2020"
